date,state,crop,price
01-01-2023,Maharashtra,Pulses,5405.36
01-07-2023,Rajasthan,Sugarcane,325.41
01-05-2027,Maharashtra,Pulses,6479.41
01-02-2026,Gujarat,Cotton,7151.26
01-01-2028,Rajasthan,Pulses,6173.13
01-04-2028,Maharashtra,Rice,2313.03
01-03-2028,Maharashtra,Maize,1977.89
01-03-2027,Haryana,Mustard,6193.03
01-07-2021,Maharashtra,Groundnut,5633.83
01-10-2025,Uttar Pradesh,Cotton,6692.92
01-02-2026,Uttar Pradesh,Maize,1829.27
01-06-2024,Madhya Pradesh,Cotton,6985.1
01-02-2023,Gujarat,Cotton,6638.62
01-01-2024,Haryana,Groundnut,6279.1
01-05-2023,Maharashtra,Sugarcane,349.34
01-02-2020,Karnataka,Maize,1527.56
01-08-2026,Gujarat,Cotton,6941.77
01-01-2022,Punjab,Cotton,6418.36
01-01-2020,Uttar Pradesh,Soybean,3484.06
01-07-2020,Haryana,Mustard,4878.65
01-07-2026,Madhya Pradesh,Groundnut,6568.23
01-08-2022,Bihar,Groundnut,5689.52
01-02-2028,Tamil Nadu,Maize,1876.9
01-12-2023,Madhya Pradesh,Maize,1649.63
01-02-2021,Haryana,Groundnut,5825.78
01-06-2024,Karnataka,Soybean,4137.84
01-06-2024,Bihar,Maize,1766.06
01-03-2026,Gujarat,Rice,2263.35
01-01-2020,Rajasthan,Soybean,3516.36
01-05-2028,Gujarat,Rice,2336.18
01-06-2026,Tamil Nadu,Rice,2242.51
01-07-2025,Maharashtra,Maize,1748.39
01-07-2025,Tamil Nadu,Wheat,2352.57
01-08-2022,Maharashtra,Wheat,2112.19
01-12-2027,Madhya Pradesh,Maize,1835.14
01-04-2023,Maharashtra,Groundnut,6297.02
01-07-2022,Bihar,Maize,1581.76
01-09-2027,Uttar Pradesh,Sugarcane,356.41
01-06-2024,Haryana,Soybean,4011.66
01-01-2023,Gujarat,Wheat,2164.39
01-09-2022,Karnataka,Groundnut,5639.28
01-06-2027,Karnataka,Rice,2294.61
01-02-2024,Tamil Nadu,Cotton,6838.44
01-12-2023,Tamil Nadu,Rice,1999.07
01-05-2021,Maharashtra,Pulses,5461.04
01-05-2026,Haryana,Mustard,5960.69
01-06-2028,Uttar Pradesh,Sugarcane,377.54
01-06-2025,Haryana,Mustard,5735.81
01-11-2024,Haryana,Pulses,5585.06
01-04-2024,Haryana,Soybean,4224.19
01-10-2027,Tamil Nadu,Barley,1867.96
01-01-2020,Gujarat,Maize,1474.97
01-04-2020,Madhya Pradesh,Pulses,5320.37
01-02-2024,Gujarat,Maize,1747.95
01-02-2021,Bihar,Mustard,5173.73
01-03-2023,Bihar,Maize,1729.46
01-08-2028,Punjab,Mustard,5921.19
01-10-2020,Haryana,Mustard,4665.86
01-10-2025,Gujarat,Rice,1977.56
01-01-2027,Haryana,Wheat,2434.8
01-04-2024,Punjab,Cotton,7093.91
01-03-2023,Madhya Pradesh,Groundnut,6202.28
01-06-2020,Gujarat,Barley,1644.49
01-07-2026,Madhya Pradesh,Soybean,4247.46
01-02-2023,Punjab,Sugarcane,331.08
01-11-2024,Punjab,Pulses,5475.59
01-04-2021,Gujarat,Pulses,5515.06
01-04-2021,Maharashtra,Cotton,6657.0
01-03-2021,Gujarat,Cotton,6544.37
01-10-2027,Uttar Pradesh,Sugarcane,345.54
01-04-2022,Haryana,Barley,1825.37
01-06-2026,Bihar,Mustard,5809.42
01-04-2027,Maharashtra,Mustard,6249.35
01-07-2024,Madhya Pradesh,Mustard,5355.6
01-08-2023,Karnataka,Pulses,5405.59
01-07-2028,Madhya Pradesh,Wheat,2516.4
01-08-2028,Rajasthan,Groundnut,6826.45
01-04-2027,Karnataka,Mustard,6088.37
01-02-2026,Gujarat,Barley,1947.71
01-04-2027,Haryana,Mustard,6170.16
01-12-2022,Tamil Nadu,Groundnut,5904.27
01-05-2023,Rajasthan,Sugarcane,343.48
01-06-2023,Punjab,Wheat,2281.16
01-07-2021,Karnataka,Pulses,5292.33
01-06-2025,Gujarat,Maize,1806.66
01-01-2023,Gujarat,Soybean,3819.98
01-12-2022,Karnataka,Mustard,5165.63
01-04-2023,Punjab,Cotton,6841.01
01-10-2025,Karnataka,Maize,1663.19
01-08-2020,Karnataka,Cotton,5943.4
01-06-2021,Haryana,Rice,1961.63
01-06-2020,Uttar Pradesh,Groundnut,5716.53
01-02-2023,Bihar,Mustard,5370.51
01-08-2021,Madhya Pradesh,Barley,1650.68
01-05-2024,Tamil Nadu,Cotton,7011.38
01-08-2024,Gujarat,Sugarcane,330.02
01-02-2024,Maharashtra,Sugarcane,350.57
01-02-2021,Karnataka,Cotton,6475.28
01-02-2028,Madhya Pradesh,Rice,2295.76
01-08-2020,Bihar,Soybean,3429.89
01-12-2024,Bihar,Barley,1818.39
01-07-2026,Haryana,Maize,1773.98
01-11-2026,Punjab,Mustard,5446.13
01-10-2023,Tamil Nadu,Mustard,5023.9
01-04-2026,Tamil Nadu,Mustard,5926.61
01-09-2023,Haryana,Wheat,2128.49
01-02-2025,Uttar Pradesh,Wheat,2339.59
01-06-2027,Bihar,Wheat,2467.71
01-05-2028,Maharashtra,Cotton,7843.17
01-08-2021,Gujarat,Wheat,2050.69
01-04-2026,Bihar,Soybean,4301.41
01-01-2021,Haryana,Groundnut,5633.97
01-09-2026,Uttar Pradesh,Maize,1740.72
01-02-2025,Karnataka,Wheat,2327.73
01-09-2028,Bihar,Wheat,2458.45
01-07-2021,Bihar,Mustard,4984.82
01-11-2020,Haryana,Mustard,4786.8
01-06-2024,Tamil Nadu,Sugarcane,352.05
01-05-2024,Tamil Nadu,Groundnut,6420.94
01-07-2025,Maharashtra,Wheat,2298.06
01-09-2020,Tamil Nadu,Groundnut,5415.64
01-03-2025,Maharashtra,Groundnut,6577.84
01-11-2022,Tamil Nadu,Pulses,5183.55
01-03-2025,Haryana,Pulses,6126.43
01-10-2026,Uttar Pradesh,Cotton,6937.63
01-09-2028,Gujarat,Mustard,5778.19
01-03-2027,Bihar,Wheat,2557.76
01-10-2023,Haryana,Wheat,2147.98
01-09-2025,Punjab,Mustard,5369.19
01-07-2023,Tamil Nadu,Mustard,5351.0
01-12-2028,Karnataka,Sugarcane,369.58
01-09-2026,Haryana,Barley,1829.53
01-06-2023,Gujarat,Sugarcane,333.66
01-01-2023,Rajasthan,Wheat,2180.45
01-12-2026,Karnataka,Pulses,5859.9
01-06-2023,Maharashtra,Barley,1787.65
01-04-2024,Madhya Pradesh,Mustard,5672.22
01-06-2021,Maharashtra,Maize,1578.08
01-09-2021,Rajasthan,Wheat,1971.32
01-01-2026,Gujarat,Soybean,4098.49
01-06-2026,Karnataka,Barley,1987.93
01-08-2022,Gujarat,Sugarcane,310.37
01-08-2025,Bihar,Maize,1716.97
01-01-2028,Haryana,Maize,1891.15
01-01-2026,Tamil Nadu,Groundnut,6525.33
01-06-2021,Madhya Pradesh,Maize,1579.16
01-08-2026,Karnataka,Mustard,5676.18
01-09-2021,Rajasthan,Barley,1590.51
01-12-2025,Maharashtra,Cotton,6846.18
01-02-2027,Punjab,Groundnut,6959.86
01-07-2028,Uttar Pradesh,Mustard,5981.79
01-03-2021,Maharashtra,Maize,1617.17
01-11-2024,Maharashtra,Cotton,6532.12
01-09-2027,Rajasthan,Wheat,2379.79
01-10-2023,Uttar Pradesh,Maize,1567.41
01-08-2026,Punjab,Pulses,5759.99
01-11-2024,Gujarat,Cotton,6612.2
01-10-2027,Karnataka,Groundnut,6469.52
01-09-2021,Haryana,Wheat,1982.77
01-05-2021,Uttar Pradesh,Wheat,2165.97
01-10-2027,Gujarat,Wheat,2302.11
01-04-2025,Gujarat,Cotton,7382.39
01-04-2023,Madhya Pradesh,Mustard,5521.42
01-06-2028,Haryana,Cotton,7646.8
01-04-2020,Rajasthan,Sugarcane,311.37
01-11-2024,Haryana,Soybean,3849.46
01-05-2023,Madhya Pradesh,Maize,1690.29
01-09-2024,Karnataka,Rice,1942.9
01-11-2028,Karnataka,Pulses,6114.71
01-09-2025,Rajasthan,Cotton,6644.9
01-04-2027,Tamil Nadu,Rice,2269.59
01-12-2025,Uttar Pradesh,Mustard,5608.81
01-10-2023,Tamil Nadu,Barley,1672.36
01-12-2025,Tamil Nadu,Sugarcane,350.75
01-03-2026,Maharashtra,Sugarcane,367.36
01-06-2026,Madhya Pradesh,Rice,2228.58
01-04-2023,Bihar,Sugarcane,348.38
01-02-2022,Bihar,Pulses,5424.26
01-10-2028,Gujarat,Pulses,5931.16
01-05-2021,Bihar,Maize,1620.16
01-11-2020,Gujarat,Cotton,5771.3
01-08-2026,Uttar Pradesh,Maize,1759.94
01-01-2020,Maharashtra,Mustard,4801.6
01-03-2027,Bihar,Cotton,7471.91
01-02-2028,Maharashtra,Barley,2066.67
